Symbol,Company,Price,52 Wk Change %,Estimated Valuation,Total Funding Raised,Latest Funding Date,Latest Amount Raised,Latest Round Share Class,Private Company Sector
SPAX.PVT,SpaceX,214.28,96.16,405395000000,8173000000,2020-08-03,1901000000.0,Series N,Space
DATB.PVT,Databricks,107.91,54.16,72379000000,14426000000,2024-12-16,10175000000.0,Series J,Data and Analytics
ANTH.PVT,Anthropic,60.11,100.37,65912000000,15690000000,2025-03-02,1278000000.0,Series E-1,Artificial Intelligence
XAAI.PVT,xAI,21.65,"2,065.00",50000000000,12135000000,2024-12-22,6000000000.0,Series C,Artificial Intelligence
FIGR.PVT,Figure AI,194.0,"1,367.47",38154000000,745310000,2024-02-22,675000000.0,Series B,Hardware
ANIN.PVT,Anduril Industries,42.52,97.31,27386000000,3955000000,2024-06-25,1116000000.0,Series F,Government and Military
CORW.PVT,CoreWeave,1000,796.62,24389000000,1582000000,2024-05-29,1150000000.0,Series C,Data and Analytics
FIGM.PVT,Figma,37.99,104.25,17838000000,333005000,2021-06-22,200000000.0,Series E,Software
FANA.PVT,Fanatics,42.0,-22.82,17093000000,6282000000,2021-03-23,322557000.0,Series F,Commerce and Shopping
SCAI.PVT,Scale AI,16.61,69.84,15758000000,6554000000,2024-05-20,900000000.0,Series F,Artificial Intelligence
RIPP.PVT,Rippling,50.62,42.63,15531000000,5306000000,2024-04-21,200000000.0,Series F,Administrative Services
RAMP.PVT,Ramp,39.2,96.00,12008000000,1177000000,2024-04-16,156110000.0,Series D-2,Financial Services
CHIM.PVT,Chime,31.25,59.52,11277000000,5804000000,2021-08-12,1105000000.0,Series G,Financial Services
RIPL.PVT,Ripple,67.36,150.04,10940000000,586800000,2019-12-19,200000000.0,Series C,Blockchain and Crypto
PEAI.PVT,Perplexity,349.59,"1,277.42",9567000000,918894000,2024-12-17,440995000.0,Series D-1,Artificial Intelligence
NEUR.PVT,Neuralink,51.45,42.92,9318000000,2306000000,2023-08-06,281549000.0,Series D,Biotechnology
PLAI.PVT,Plaid,300.0,100.00,6903000000,1645000000,2021-04-04,449994000.0,Series D,Financial Services
KRAK.PVT,Kraken,24.45,169.87,6798000000,65021000,2020-05-12,52500000.0,Series B,Blockchain and Crypto
DISO.PVT,Discord,239.72,14.15,6617000000,1004999999,2021-08-23,499999000.0,Series I,Messaging and Telecommunications
GLEA.PVT,Glean,46.91,134.55,6498000000,2591000000,2024-09-09,265000000.0,Series E,Data and Analytics
